Code du territoire de vie;LibellÇ du territoire de vie;"Part de la population ayant accäs en moyenne aux 21 Çquipements de la gamme de proximitÇ en 7 minutes ou moins (en %)";"Part de la population ayant accäs en moyenne aux 12 Çquipements de la gamme intermÇdiaire en 15 minutes ou moins (en %)";"Part des 20-60 ans dÇtenant une licence dans un club sportif (en %)";Taux d'emploi des 25-54 ans (en %);Salaire net horaire moyen des salariÇs Ö temps plein (base 100 mÇtropole);"Part des espaces artificialisÇs dans le territoire (en %)";"Part des actifs occupÇs rÇsidant Ö 30 minutes ou moins de leur lieu de travail (en %)";"AccessibilitÇ potentielle localisÇe aux mÇdecins gÇnÇralistes libÇraux (nombre de mÇdecins en ETP pour100 000 habitants)";"Part de la population ayant accäs en moyenne Ö un mÇdecin gÇnÇraliste et Ö une pharmacie en 10 minutes ou moins (en %)"
TerrVie;LibTerrVie;Part_Acces_Proxi_2013;Part_Acces_Inter_2013;Part_Licen_Sport_2011;TxEmpl_2554_2011;SalHorMoy_TP_Dads_2011;Part_SurfArti_2006;Part_ActOccM30_2011;APL_MG_2010;Acces_Sante_2013
75056;Paris;100,0;100,0;7,7;81,5;155,3;83,5;67,6;56;100,0
93066;Saint-Denis;100,0;100,0;16,0;67,2;89,0;98,1;45,1;66;100,0
95018;Argenteuil;100,0;100,0;8,3;75,2;97,6;89,5;48,6;50;100,0
93048;Montreuil;100,0;100,0;6,1;75,1;102,6;88,6;34,5;63;100,0
94028;CrÇteil;100,0;100,0;6,7;78,1;99,8;95,8;51,4;65;100,0
92050;Nanterre;100,0;100,0;6,4;75,9;111,5;94,6;58,1;54;100,0
92026;Courbevoie;100,0;100,0;9,9;86,8;149,7;94,7;49,5;55;100,0
94081;Vitry-sur-Seine;100,0;100,0;6,1;75,9;93,7;87,4;48,0;62;100,0
92025;Colombes;100,0;100,0;7,1;79,9;123,2;95,7;55,6;52;100,0
92004;Asniäres-sur-Seine;100,0;100,0;8,6;82,8;135,5;95,2;45,3;57;100,0
93005;Aulnay-sous-Bois;100,0;100,0;6,3;72,7;95,0;91,6;53,9;74;100,0
94017;Champigny-sur-Marne;100,0;100,0;8,2;78,5;101,5;95,9;47,3;73;100,0
93001;Aubervilliers;100,0;100,0;3,0;62,7;81,0;97,4;42,5;54;100,0
94068;Saint-Maur-des-FossÇs;100,0;100,0;12,8;86,9;143,5;99,9;33,7;68;100,0
77284;Meaux;97,5;98,9;9,0;80,0;93,5;19,0;56,7;77;100,0
93029;Drancy;100,0;100,0;5,4;73,0;89,2;100,0;42,5;49;100,0
92040;Issy-les-Moulineaux;100,0;100,0;10,8;88,3;153,4;90,4;38,1;49;100,0
92044;Levallois-Perret;100,0;100,0;11,8;86,2;165,9;96,3;45,7;45;100,0
93051;Noisy-le-Grand;100,0;100,0;9,7;82,9;105,1;75,7;40,9;64;100,0
92002;Antony;100,0;100,0;11,3;84,8;144,8;93,3;48,7;64;100,0
92024;Clichy;100,0;100,0;6,4;80,2;110,5;91,3;44,5;62;100,0
95585;Sarcelles;100,0;100,0;7,2;67,3;83,3;78,1;36,9;67;100,0
95127;Cergy;100,0;100,0;10,9;79,3;99,3;67,8;53,4;79;100,0
94041;Ivry-sur-Seine;100,0;100,0;6,1;76,1;98,0;91,0;41,7;54;100,0
94076;Villejuif;100,0;100,0;6,9;76,7;101,2;100,0;42,2;56;100,0
93031;êpinay-sur-Seine;100,0;100,0;4,1;70,1;88,5;95,5;50,1;57;100,0
93055;Pantin;100,0;100,0;4,8;72,0;94,0;83,8;36,1;49;100,0
94046;Maisons-Alfort;100,0;100,0;10,8;86,4;114,8;100,0;44,5;67;100,0
93010;Bondy;100,0;100,0;5,3;72,6;91,0;100,0;46,2;68;100,0
77243;Lagny-sur-Marne;100,0;100,0;12,2;87,5;111,8;47,9;57,2;62;100,0
77108;Chelles;100,0;100,0;9,5;83,2;105,2;80,0;39,5;50;100,0
92023;Clamart;100,0;100,0;11,1;86,0;139,8;72,4;49,3;48;100,0
94033;Fontenay-sous-Bois;100,0;100,0;9,2;82,9;122,4;99,5;39,6;55;100,0
78361;Mantes-la-Jolie;96,9;99,6;8,0;71,3;94,3;14,8;57,6;77;98,1
91228;êvry;100,0;100,0;8,7;74,2;90,2;85,9;57,6;57;100,0
93007;Blanc-Mesnil (Le);100,0;100,0;5,6;71,7;88,1;96,9;49,2;50;100,0
78586;Sartrouville;100,0;100,0;11,0;82,8;109,7;91,5;34,0;53;100,0
93071;Sevran;100,0;91,7;5,8;72,1;88,9;83,3;39,7;56;100,0
91174;Corbeil-Essonnes;98,4;100,0;8,4;75,2;92,9;67,5;57,9;59;100,0
92049;Montrouge;100,0;100,0;9,9;86,0;131,3;99,7;36,1;61;100,0
94080;Vincennes;100,0;100,0;11,7;87,3;148,0;98,7;26,7;51;100,0
93070;Saint-Ouen;100,0;100,0;4,3;72,6;97,4;90,3;40,7;51;100,0
93008;Bobigny;100,0;100,0;4,2;67,5;80,5;95,1;47,1;47;100,0
92073;Suresnes;100,0;100,0;11,0;85,6;160,9;83,5;58,0;43;100,0
92062;Puteaux;100,0;100,0;10,9;85,7;143,9;91,7;50,6;53;100,0
94002;Alfortville;100,0;100,0;6,9;79,7;103,7;91,8;39,8;62;100,0
91377;Massy;100,0;100,0;14,1;84,2;111,3;81,4;61,7;62;100,0
78498;Poissy;100,0;100,0;13,2;83,1;128,5;59,7;48,6;70;100,0
77288;Melun;99,5;100,0;8,8;77,1;93,4;25,8;62,7;84;100,0
93046;Livry-Gargan;100,0;100,0;9,5;81,0;101,5;86,1;39,5;66;100,0
92036;Gennevilliers;100,0;100,0;6,0;72,2;89,8;96,4;62,3;61;100,0
94022;Choisy-le-Roi;100,0;100,0;7,5;78,7;99,5;86,4;50,4;78;100,0
93064;Rosny-sous-Bois;100,0;100,0;7,8;79,0;100,2;94,4;49,9;59;100,0
77514;Villeparisis;99,9;100,0;12,6;84,7;103,0;36,4;51,1;64;100,0
95268;Garges-läs-Gonesse;100,0;100,0;4,7;63,6;80,7;77,3;46,9;57;100,0
93053;Noisy-le-Sec;100,0;100,0;5,0;72,7;92,7;95,2;39,5;73;100,0
74012;Annemasse;96,6;100,0;10,1;77,1;84,6;71,5;55,1;77;100,0
93032;Gagny;100,0;100,0;9,3;81,4;104,7;85,7;28,6;49;100,0
93027;Courneuve (La);100,0;100,0;3,5;61,7;77,6;76,2;44,4;56;100,0
92007;Bagneux;100,0;100,0;6,7;79,0;98,5;85,3;36,8;51;100,0
95280;Goussainville;99,3;100,0;7,5;75,6;90,1;37,2;52,8;46;100,0
91589;Savigny-sur-Orge;100,0;100,0;12,6;85,5;113,4;96,1;42,9;55;100,0
77373;Pontault-Combault;100,0;100,0;9,9;85,8;103,5;59,0;49,4;69;100,0
93078;Villepinte;100,0;100,0;9,1;73,1;94,2;76,5;53,2;51;100,0
78172;Conflans-Sainte-Honorine;100,0;100,0;12,0;86,2;118,4;83,0;42,9;72;100,0
77445;Savigny-le-Temple;100,0;100,0;11,6;83,0;98,8;44,9;51,4;74;100,0
93072;Stains;100,0;100,0;4,2;66,6;82,9;96,4;48,0;57;100,0
91549;Sainte-Geneviäve-des-Bois;100,0;100,0;11,8;83,2;107,8;87,5;60,0;67;100,0
91103;BrÇtigny-sur-Orge;100,0;100,0;15,4;85,6;110,0;51,3;52,9;49;100,0
93006;Bagnolet;100,0;100,0;5,6;74,0;95,6;96,5;38,6;43;100,0
93073;Tremblay-en-France;100,0;100,0;10,8;78,8;99,9;67,5;44,8;56;100,0
93050;Neuilly-sur-Marne;100,0;100,0;7,2;81,7;96,9;70,8;37,4;63;100,0
95252;Franconville;100,0;100,0;11,2;84,1;105,7;74,1;53,0;60;100,0
92020;ChÉtillon;100,0;100,0;10,2;88,0;132,8;99,8;35,7;46;100,0
94058;Perreux-sur-Marne (Le);100,0;100,0;14,7;87,4;136,3;100,0;40,2;56;100,0
95607;Taverny;100,0;100,0;13,2;86,0;111,9;43,5;47,5;67;100,0
94078;Villeneuve-Saint-Georges;100,0;100,0;5,0;74,2;86,2;84,6;51,0;66;100,0
92078;Villeneuve-la-Garenne;100,0;100,0;5,2;73,8;92,1;82,5;54,5;51;100,0
92019;ChÉtenay-Malabry;100,0;100,0;14,1;84,2;126,8;61,4;60,4;49;100,0
78311;Houilles;100,0;100,0;11,6;87,9;128,8;100,0;35,8;38;100,0
94052;Nogent-sur-Marne;100,0;100,0;11,7;85,6;149,5;99,5;37,0;58;100,0
91687;Viry-ChÉtillon;100,0;100,0;10,8;84,3;100,1;89,3;57,3;64;100,0
77152;Dammarie-les-Lys;97,8;100,0;10,5;79,0;106,6;18,9;57,3;57;100,0
91021;Arpajon;100,0;100,0;13,6;86,3;108,8;36,3;63,5;52;100,0
77083;Champs-sur-Marne;100,0;100,0;12,2;83,6;111,8;61,8;46,4;57;100,0
92046;Malakoff;100,0;100,0;8,2;83,2;116,8;100,0;37,7;54;100,0
78440;Mureaux (Les);100,0;100,0;8,0;72,5;88,5;69,5;49,9;84;100,0
93047;Montfermeil;100,0;100,0;8,8;74,8;100,6;64,0;39,6;49;100,0
94038;Haò-les-Roses (L');100,0;100,0;9,3;83,4;120,2;93,6;50,7;53;100,0
95500;Pontoise;100,0;100,0;9,0;79,4;101,5;76,7;58,3;65;100,0
93014;Clichy-sous-Bois;100,0;91,7;4,0;60,4;82,1;68,2;35,8;50;100,0
91027;Athis-Mons;100,0;100,0;10,3;82,6;102,1;90,4;54,6;64;100,0
95203;Eaubonne;100,0;100,0;15,0;87,2;127,4;78,9;36,9;64;100,0
78621;Trappes;100,0;100,0;7,8;73,4;85,5;76,1;73,2;78;100,0
94018;Charenton-le-Pont;100,0;100,0;9,5;86,0;136,3;93,6;35,2;48;100,0
94073;Thiais;100,0;100,0;8,6;82,9;109,2;78,6;52,3;63;100,0
91691;Yerres;100,0;100,0;14,5;88,4;120,8;61,2;31,6;68;100,0
92009;Bois-Colombes;100,0;100,0;8,9;85,1;150,3;100,0;41,1;31;100,0
91201;Draveil;100,0;100,0;14,1;84,7;116,9;46,1;45,1;48;100,0
94016;Cachan;100,0;100,0;15,4;83,3;121,7;100,0;41,4;36;100,0
93077;Villemomble;100,0;91,7;9,5;81,2;108,6;100,0;32,5;58;100,0
95063;Bezons;100,0;100,0;6,3;79,2;98,1;88,4;64,2;45;100,0
92035;Garenne-Colombes (La);100,0;100,0;11,8;87,4;150,5;100,0;52,5;50;100,0
91657;Vigneux-sur-Seine;100,0;100,0;8,3;80,0;97,2;51,2;31,2;48;100,0
78297;Guyancourt;100,0;100,0;13,7;87,1;121,7;57,0;70,0;67;100,0
92060;Plessis-Robinson (Le);100,0;100,0;11,9;88,0;134,7;86,1;47,1;47;100,0
95176;Cormeilles-en-Parisis;100,0;100,0;18,4;87,8;124,7;68,6;44,7;44;100,0
93059;Pierrefitte-sur-Seine;100,0;100,0;4,4;70,5;83,6;93,8;33,8;46;100,0
95680;Villiers-le-Bel;100,0;100,0;6,8;69,7;82,1;29,2;51,2;48;100,0
